"","centroid_latitude","centroid_longitude","census_tract"
"1",42.021223593,-87.669824772,17031010100
"2",42.016010564,-87.680162272,17031010201
"3",42.016046492,-87.673333778,17031010202
"4",42.015934376,-87.666536278,17031010300
"5",42.004764559,-87.659122427,17031010400
"6",42.009412547,-87.663958214,17031010501
"7",42.004517488,-87.663327859,17031010502
"8",42.000320306,-87.6631268,17031010503
"9",42.006278861,-87.66768361,17031010600
"10",42.009150063,-87.67861897,17031010701
"11",42.009018227,-87.672723959,17031010702
"12",42.015719907,-87.68711599,17031020100
"13",42.01569675,-87.699663042,17031020200
"14",42.007446924,-87.704605634,17031020301
"15",42.008540761,-87.69496375,17031020302
"16",42.008487008,-87.685913133,17031020400
"17",42.001313249,-87.684198195,17031020500
"18",42.000874825,-87.701802904,17031020601
"19",42.001315924,-87.693637494,17031020602
"20",41.986895043,-87.703668273,17031020701
"21",41.994143646,-87.704893486,17031020702
"22",41.986808626,-87.694415191,17031020801
"23",41.994059824,-87.694630719,17031020802
"24",41.994225234,-87.686076881,17031020901
"25",41.994266094,-87.678688211,17031020902
"26",41.991234532,-87.65730427,17031030101
"27",41.993440946,-87.657417742,17031030102
"28",41.995512991,-87.655814902,17031030103
"29",41.997153943,-87.657498791,17031030104
"30",41.994442248,-87.665224776,17031030200
"31",41.99438102,-87.672538401,17031030300
"32",41.986953058,-87.672080994,17031030400
"33",41.987225558,-87.664937724,17031030500
"34",41.988704022,-87.657234828,17031030601
"35",41.985476499,-87.65839767,17031030603
"36",41.985472422,-87.653793529,17031030604
"37",41.982745595,-87.657966347,17031030701
"38",41.980606166,-87.654537868,17031030702
"39",41.978875058,-87.657871263,17031030703
"40",41.980157574,-87.652274017,17031030706
"41",41.979912445,-87.664188242,17031030800
"42",41.979795551,-87.671445547,17031030900
"43",41.972437081,-87.671109526,17031031000
"44",41.972667956,-87.663865496,17031031100
"45",41.972709547,-87.657341107,17031031200
"46",41.972929317,-87.650290074,17031031300
"47",41.962178629,-87.645378762,17031031400
"48",41.967288614,-87.652435,17031031501
"49",41.963633169,-87.652365359,17031031502
"50",41.965445784,-87.66319585,17031031700
"51",41.967011761,-87.670621043,17031031800
"52",41.963374382,-87.67018455,17031031900
"53",41.958154876,-87.653021789,17031032100
"54",41.983330806,-87.681993542,17031040100
"55",41.9725808,-87.694001061,17031040201
"56",41.979855309,-87.694096022,17031040202
"57",41.97681175,-87.701941074,17031040300
"58",41.972035672,-87.686099898,17031040401
"59",41.972562538,-87.678845966,17031040402
"60",41.966834067,-87.684018371,17031040600
"61",41.966806346,-87.694020097,17031040700
"62",41.963153311,-87.69225876,17031040800
"63",41.963184966,-87.683854556,17031040900
"64",41.957843375,-87.676373281,17031050100
"65",41.957735565,-87.683718102,17031050200
"66",41.957651916,-87.691530248,17031050300
"67",41.950442599,-87.68350623,17031050500
"68",41.950545696,-87.676182496,17031050600
"69",41.945069205,-87.67606274,17031050700
"70",41.945010151,-87.680928225,17031050800
"71",41.944946754,-87.685778214,17031050900
"72",41.941311617,-87.685615817,17031051000
"73",41.94136566,-87.680826903,17031051100
"74",41.941422478,-87.675953932,17031051200
"75",41.935983574,-87.675821928,17031051300
"76",41.935749459,-87.680980301,17031051400
"77",41.957530922,-87.66661144,17031060100
"78",41.957903897,-87.671518011,17031060200
"79",41.950605232,-87.671332488,17031060300
"80",41.950673358,-87.666536281,17031060400
"81",41.952719111,-87.660503502,17031060500
"82",41.953400044,-87.646007066,17031060800
"83",41.949829346,-87.64396537,17031060900
"84",41.949220914,-87.651970395,17031061000
"85",41.949139771,-87.656803909,17031061100
"86",41.949060526,-87.661642904,17031061200
"87",41.945282331,-87.661545096,17031061500
"88",41.946489764,-87.647113634,17031061800
"89",41.943237122,-87.643470956,17031061901
"90",41.943155086,-87.640698076,17031061902
"91",41.942577185,-87.647078509,17031062000
"92",41.942691844,-87.651770507,17031062100
"93",41.94258518,-87.656644092,17031062200
"94",41.9416281,-87.661443368,17031062300
"95",41.941555829,-87.666288887,17031062400
"96",41.941488234,-87.671107656,17031062500
"97",41.935988906,-87.670966384,17031062600
"98",41.936086535,-87.666110694,17031062700
"99",41.936159071,-87.661265218,17031062800
"100",41.936237179,-87.656411531,17031062900
"101",41.936310131,-87.651562592,17031063000
"102",41.938232293,-87.646782081,17031063100
"103",41.938391258,-87.63857492,17031063200
"104",41.934539716,-87.643022804,17031063301
"105",41.934762456,-87.639853859,17031063302
"106",41.934650448,-87.634647877,17031063303
"107",41.934659157,-87.646729729,17031063400
"108",41.92926299,-87.635890954,17031070101
"109",41.93057857,-87.642206313,17031070102
"110",41.926811182,-87.642605247,17031070103
"111",41.929077655,-87.646293476,17031070200
"112",41.929046937,-87.651310877,17031070300
"113",41.928967266,-87.656156831,17031070400
"114",41.928945904,-87.66089257,17031070500
"115",41.928763006,-87.665676837,17031070600
"116",41.929272532,-87.673807238,17031070700
"117",41.921701492,-87.655911848,17031071000
"118",41.921778188,-87.651061884,17031071100
"119",41.921854911,-87.646210977,17031071200
"120",41.921778356,-87.641459759,17031071300
"121",41.922082541,-87.634156093,17031071400
"122",41.914616286,-87.631717366,17031071500
"123",41.916473316,-87.641183657,17031071600
"124",41.912868922,-87.641070746,17031071700
"125",41.914585709,-87.645966207,17031071800
"126",41.907520075,-87.6266589,17031080100
"127",41.909495669,-87.630963601,17031080201
"128",41.905857769,-87.630865027,17031080202
"129",41.90749193,-87.63576009,17031080300
"130",41.907412816,-87.640901525,17031080400
"131",41.900265687,-87.63210922,17031081000
"132",41.900221297,-87.629105186,17031081100
"133",41.899155613,-87.626210532,17031081201
"134",41.902788048,-87.62614559,17031081202
"135",41.898331794,-87.620762865,17031081300
"136",41.89503345,-87.619710672,17031081401
"137",41.891971508,-87.612945414,17031081402
"138",41.890922026,-87.618868355,17031081403
"139",41.892507781,-87.626214906,17031081500
"140",41.892072635,-87.628874157,17031081600
"141",41.892042136,-87.63186395,17031081700
"142",41.89321636,-87.63784421,17031081800
"143",41.897983898,-87.641491533,17031081900
"144",42.015254739,-87.813587865,17031090100
"145",42.005608023,-87.81309813,17031090200
"146",41.999110415,-87.816332353,17031090300
"147",41.9895838,-87.78301328,17031100100
"148",41.995603135,-87.794269296,17031100200
"149",41.988702646,-87.804404812,17031100300
"150",41.988967384,-87.818041831,17031100400
"151",41.978068292,-87.819789114,17031100500
"152",41.979204551,-87.797398984,17031100600
"153",41.972132119,-87.7976349,17031100700
"154",41.985916382,-87.768970241,17031110100
"155",41.975280926,-87.783238034,17031110300
"156",41.9729552,-87.772616911,17031110400
"157",41.977002304,-87.761924979,17031110501
"158",41.970288894,-87.759857019,17031110502
"159",42.002015464,-87.774994789,17031120100
"160",41.994498038,-87.757597486,17031120200
"161",41.991119555,-87.74005519,17031120300
"162",41.977322582,-87.752223368,17031120400
"163",41.990064253,-87.72396783,17031130100
"164",41.980843616,-87.736083927,17031130200
"165",41.986558181,-87.713368804,17031130300
"166",41.971142808,-87.705776701,17031140100
"167",41.970244982,-87.713435328,17031140200
"168",41.969205937,-87.723168974,17031140301
"169",41.97153938,-87.738937205,17031140400
"170",41.965362587,-87.731832739,17031140500
"171",41.964647733,-87.725891015,17031140601
"172",41.964652354,-87.721016769,17031140602
"173",41.963115755,-87.713229335,17031140702
"174",41.964506955,-87.70273347,17031140800
"175",41.960675697,-87.752409137,17031150200
"176",41.960518218,-87.762285982,17031150300
"177",41.964474648,-87.781964023,17031150501
"178",41.949591689,-87.761958275,17031150700
"179",41.949709077,-87.752118415,17031150800
"180",41.942488155,-87.747154322,17031151002
"181",41.942290555,-87.761717721,17031151100
"182",41.964636199,-87.742787877,17031160100
"183",41.958797863,-87.738393906,17031160200
"184",41.957264108,-87.730898785,17031160300
"185",41.957360691,-87.722822251,17031160400
"186",41.959210185,-87.712973172,17031160501
"187",41.955584115,-87.713090057,17031160502
"188",41.959526791,-87.702098541,17031160601
"189",41.955771787,-87.701213104,17031160602
"190",41.950404411,-87.702007128,17031160700
"191",41.950212096,-87.712814232,17031160800
"192",41.950077635,-87.722610871,17031160900
"193",41.949974454,-87.730684255,17031161000
"194",41.949876432,-87.738141891,17031161100
"195",41.942554228,-87.738569226,17031161200
"196",41.942699578,-87.731002484,17031161300
"197",41.955859258,-87.794816994,17031170100
"198",41.949125166,-87.796828047,17031170300
"199",41.935113935,-87.751648958,17031190200
"200",41.934986854,-87.761463375,17031190300
"201",41.934728072,-87.780952919,17031190401
"202",41.934860006,-87.771231925,17031190402
"203",41.927560895,-87.770737328,17031190602
"204",41.926163105,-87.761039875,17031190702
"205",41.927920729,-87.744107377,17031190900
"206",41.920126404,-87.760788911,17031191200
"207",41.920152784,-87.780270163,17031191301
"208",41.935058153,-87.737619998,17031200100
"209",41.92785319,-87.735625949,17031200200
"210",41.923478945,-87.734142469,17031200300
"211",41.942872538,-87.701330291,17031210100
"212",41.935745058,-87.730301758,17031210400
"213",41.937401794,-87.722330298,17031210501
"214",41.93749397,-87.709987338,17031210601
"215",41.933675988,-87.712357476,17031210602
"216",41.935706471,-87.703854544,17031210700
"217",41.93573609,-87.698946916,17031210800
"218",41.935438915,-87.693325868,17031210900
"219",41.928464984,-87.695086675,17031220300
"220",41.928431564,-87.699968591,17031220400
"221",41.928391397,-87.704907236,17031220500
"222",41.92556723,-87.712327602,17031220601
"223",41.929329713,-87.711974254,17031220602
"224",41.926155817,-87.721564501,17031220701
"225",41.929759047,-87.724267094,17031220702
"226",41.920960866,-87.715252818,17031221000
"227",41.921019607,-87.710359144,17031221100
"228",41.921084583,-87.704648384,17031221200
"229",41.921125914,-87.699754406,17031221300
"230",41.920801704,-87.694532342,17031221400
"231",41.921647132,-87.689951469,17031221500
"232",41.921273105,-87.68508211,17031221600
"233",41.915909788,-87.68382594,17031222200
"234",41.915613238,-87.704479575,17031222600
"235",41.915496209,-87.710195634,17031222700
"236",41.915540408,-87.720099356,17031222900
"237",41.911788858,-87.721509703,17031230400
"238",41.911666588,-87.733950998,17031230500
"239",41.90616787,-87.733857019,17031230600
"240",41.906322711,-87.721538294,17031230700
"241",41.906683959,-87.710353935,17031230900
"242",41.891754203,-87.718670795,17031231500
"243",41.912431869,-87.670189148,17031240200
"244",41.912364354,-87.675062757,17031240300
"245",41.911972301,-87.683642922,17031240500
"246",41.91213208,-87.689711275,17031240600
"247",41.912084382,-87.6945983,17031240700
"248",41.912073493,-87.69947972,17031240800
"249",41.904712,-87.701884559,17031240900
"250",41.906638542,-87.689579834,17031241100
"251",41.906707792,-87.684685949,17031241200
"252",41.906771332,-87.681025231,17031241300
"253",41.906025969,-87.675311622,17031241400
"254",41.908378669,-87.670945075,17031241500
"255",41.906650766,-87.66533766,17031241600
"256",41.899737388,-87.664953917,17031242000
"257",41.89967018,-87.669837798,17031242100
"258",41.899589796,-87.674719134,17031242200
"259",41.899506548,-87.679600287,17031242300
"260",41.899422254,-87.684490122,17031242400
"261",41.899445769,-87.68931919,17031242500
"262",41.900560384,-87.69419737,17031242600
"263",41.897425765,-87.699374404,17031242700
"264",41.891948382,-87.689125909,17031242800
"265",41.892196429,-87.6842894,17031242900
"266",41.892276708,-87.679397479,17031243000
"267",41.892355048,-87.674506788,17031243100
"268",41.892433156,-87.66962393,17031243200
